round_name,heat_id,heat_name,competition_competitor_id,bib_number,starting_position,final_rank,final_result,final_points,result_status,qualification_code,record_flag,num_laps,json_source
Heats,beea6adf-c5f7-4c9a-b0d6-f318d787e162,Heat 8,7241404a-ad95-48e4-828b-a639b7b2cf9f,97,5,5.0,42.632,,,,,5,seoul_man
Rep. Quarterfinals,f62ef0f7-d7f1-4ee5-8944-3bb40312d296,Heat 1,843abd46-cc28-4728-be4c-a887965aa21d,126,1,1.0,41.845,,,Q,,5,seoul_man
Rep. Quarterfinals,f62ef0f7-d7f1-4ee5-8944-3bb40312d296,Heat 1,4db2541f-8c53-49cb-af7d-ff587761fd00,58,3,2.0,41.893,,,q,,5,seoul_man
Rep. Quarterfinals,f62ef0f7-d7f1-4ee5-8944-3bb40312d296,Heat 1,6966756c-063a-4dad-8481-de3a5060fba8,145,2,3.0,42.356,,,,,5,seoul_man
Rep. Quarterfinals,f62ef0f7-d7f1-4ee5-8944-3bb40312d296,Heat 1,035de887-d22a-4161-8f98-03ffbea1fec1,161,4,4.0,43.104,,,,,5,seoul_man
Rep. Quarterfinals,f62ef0f7-d7f1-4ee5-8944-3bb40312d296,Heat 1,5f994194-cdf8-41f6-b03a-f7de5326b09a,152,5,5.0,no time,,,,,4,seoul_man
Rep. Quarterfinals,db5d239e-8f4b-4831-a664-c2ac5df49667,Heat 2,2dea1d2c-3ff7-49de-b8b5-a98466f53d69,22,1,1.0,41.509,,,Q,,5,seoul_man
Rep. Quarterfinals,db5d239e-8f4b-4831-a664-c2ac5df49667,Heat 2,c7c8d6cd-9ad1-4028-8411-a2d2f121c8be,125,2,2.0,42.126,,,,,5,seoul_man
Rep. Quarterfinals,db5d239e-8f4b-4831-a664-c2ac5df49667,Heat 2,4ddfb510-ee35-4c1b-a0c1-f7ba7a228594,55,4,3.0,42.221,,,,,5,seoul_man
Rep. Quarterfinals,db5d239e-8f4b-4831-a664-c2ac5df49667,Heat 2,270ef03a-79ea-488d-8444-5d8af2e4c06c,87,5,4.0,42.372,,,,,5,seoul_man
Rep. Quarterfinals,db5d239e-8f4b-4831-a664-c2ac5df49667,Heat 2,1f32c0f8-b7d1-4442-a6a5-ab8763ab06d1,106,3,5.0,42.453,,,,,5,seoul_man
Rep. Quarterfinals,b8193a1b-4b72-458e-a340-27522d0bd8e8,Heat 3,b04d2e6d-b92c-4548-ac22-e5930ca27da4,18,1,1.0,41.911,,,Q,,5,seoul_man
Rep. Quarterfinals,b8193a1b-4b72-458e-a340-27522d0bd8e8,Heat 3,d0aa76b3-ea67-499e-84fb-50b0420310e6,138,2,2.0,42.329,,,,,5,seoul_man
Rep. Quarterfinals,b8193a1b-4b72-458e-a340-27522d0bd8e8,Heat 3,bd75d3d0-bab6-4daa-90ea-0f246ac1dd2f,82,5,3.0,43.153,,,,,5,seoul_man
Rep. Quarterfinals,b8193a1b-4b72-458e-a340-27522d0bd8e8,Heat 3,12d00681-72a5-4a5e-8b7f-888307030a79,146,3,4.0,43.234,,,,,5,seoul_man
Rep. Quarterfinals,b8193a1b-4b72-458e-a340-27522d0bd8e8,Heat 3,398f4d0a-6c05-40de-b3f1-8866b6ff5158,54,4,,PEN,,Penalty,,,0,seoul_man
Rep. Quarterfinals,701a6468-fb42-45e2-b504-94745b186277,Heat 4,4c36e64c-a635-45b3-8947-7b41a9430ecb,90,5,1.0,42.520,,,Q,,5,seoul_man
Rep. Quarterfinals,701a6468-fb42-45e2-b504-94745b186277,Heat 4,7241404a-ad95-48e4-828b-a639b7b2cf9f,97,4,2.0,42.589,,,,,5,seoul_man
Rep. Quarterfinals,701a6468-fb42-45e2-b504-94745b186277,Heat 4,dc80c9c3-094f-4762-a72d-5dc47a1b9d47,44,3,3.0,43.553,,,,,5,seoul_man
Rep. Quarterfinals,701a6468-fb42-45e2-b504-94745b186277,Heat 4,db9e00f8-3eb5-458a-b8d1-21582b6838a9,27,1,4.0,43.566,,,ADV,,5,seoul_man
Rep. Quarterfinals,701a6468-fb42-45e2-b504-94745b186277,Heat 4,01e4dcbf-164f-4a97-aef5-3587d81e1998,83,2,,PEN,,Penalty,,,0,seoul_man
Rep. Quarterfinals,012e0947-8230-483d-83f5-ad0b2cb77488,Heat 5,29659c64-b0e6-4e52-8121-665fcca355d7,98,2,1.0,41.583,,,Q,,5,seoul_man
Rep. Quarterfinals,012e0947-8230-483d-83f5-ad0b2cb77488,Heat 5,17cf500c-d597-4fd2-ac27-62e8aabe6d11,32,1,2.0,41.994,,,,,5,seoul_man
Rep. Quarterfinals,012e0947-8230-483d-83f5-ad0b2cb77488,Heat 5,07b07e7b-b516-4d77-a204-91e3c504c294,69,3,3.0,42.115,,,,,5,seoul_man
Rep. Quarterfinals,012e0947-8230-483d-83f5-ad0b2cb77488,Heat 5,e8c2bb25-db3d-416c-a9d4-49f1721c7e1e,112,4,4.0,42.479,,,,,5,seoul_man
Rep. Quarterfinals,012e0947-8230-483d-83f5-ad0b2cb77488,Heat 5,c7b3a7a6-7d73-4870-81c0-983009b1a7df,116,5,5.0,43.348,,,,,5,seoul_man
Rep. Quarterfinals,1f992add-396d-4b0f-ab0d-17decd7e5956,Heat 6,41802b7a-0a0c-48f4-9fe8-3776c419dcc6,36,2,1.0,42.098,,,Q,,5,seoul_man
Rep. Quarterfinals,1f992add-396d-4b0f-ab0d-17decd7e5956,Heat 6,5445c3b6-260c-4627-aff7-5c87accb1e3c,34,5,2.0,42.341,,,,,5,seoul_man
Rep. Quarterfinals,1f992add-396d-4b0f-ab0d-17decd7e5956,Heat 6,86308f5c-9f44-4b71-89bc-ff577fcd76a0,115,4,3.0,42.808,,,,,5,seoul_man
Rep. Quarterfinals,1f992add-396d-4b0f-ab0d-17decd7e5956,Heat 6,aec5d4c4-5b9a-49a6-9803-d76affd5bdae,99,1,4.0,43.011,,,,,5,seoul_man
Rep. Quarterfinals,1f992add-396d-4b0f-ab0d-17decd7e5956,Heat 6,2e32c658-7255-4a74-aa1e-3555a22db580,91,3,5.0,43.160,,,,,5,seoul_man
Rep. Quarterfinals,09813cb6-b619-4653-a2de-960aae7f6af1,Heat 7,ec754c8a-dada-4421-bb64-e64926e6b4c4,26,2,1.0,42.186,,,Q,,5,seoul_man
Rep. Quarterfinals,09813cb6-b619-4653-a2de-960aae7f6af1,Heat 7,e37b1fad-a1c9-4a79-94fe-15626c82d058,49,1,2.0,42.282,,,,,5,seoul_man
Rep. Quarterfinals,09813cb6-b619-4653-a2de-960aae7f6af1,Heat 7,d39dfaf3-6fb7-43e7-ae32-cddce46b22e4,107,3,3.0,42.652,,,,,5,seoul_man
Rep. Quarterfinals,09813cb6-b619-4653-a2de-960aae7f6af1,Heat 7,28a5fc1f-30c5-4a95-b82b-6c6fe56c6b70,135,4,4.0,42.810,,,,,5,seoul_man
Rep. Quarterfinals,09813cb6-b619-4653-a2de-960aae7f6af1,Heat 7,dc16e0b5-a168-4cc2-84a8-26828fa2373c,73,5,5.0,43.256,,,,,5,seoul_man
Rep. Quarterfinals,fc0a7b60-4436-4ee7-bd86-54b841394c19,Heat 8,996efec1-974c-4d9d-8e24-17babe3ddf17,105,2,1.0,41.905,,,Q,,5,seoul_man
Rep. Quarterfinals,fc0a7b60-4436-4ee7-bd86-54b841394c19,Heat 8,7b9d12ae-44ce-4fb8-8e3e-b2bb8ee3c63c,60,1,2.0,42.152,,,,,5,seoul_man
Rep. Quarterfinals,fc0a7b60-4436-4ee7-bd86-54b841394c19,Heat 8,b510697a-fcd6-4c6b-9740-3cc6dbf57105,162,5,3.0,42.595,,,,,5,seoul_man
Rep. Quarterfinals,fc0a7b60-4436-4ee7-bd86-54b841394c19,Heat 8,05c24d5b-7213-468e-ac28-c431740f44ff,113,4,4.0,44.351,,,,,5,seoul_man
Rep. Quarterfinals,fc0a7b60-4436-4ee7-bd86-54b841394c19,Heat 8,a9d7de7a-d561-43e7-9d2b-a25f5b720ea8,31,3,5.0,50.469,,,,,5,seoul_man
Rep. Semifinals,91b1628d-5a16-46e0-9f16-6880619b7d5e,Heat 1,4db2541f-8c53-49cb-af7d-ff587761fd00,58,3,1.0,42.256,,,Q,,5,seoul_man
Rep. Semifinals,91b1628d-5a16-46e0-9f16-6880619b7d5e,Heat 1,41802b7a-0a0c-48f4-9fe8-3776c419dcc6,36,4,2.0,42.311,,,,,5,seoul_man
Rep. Semifinals,91b1628d-5a16-46e0-9f16-6880619b7d5e,Heat 1,4c36e64c-a635-45b3-8947-7b41a9430ecb,90,5,3.0,42.450,,,,,5,seoul_man
Rep. Semifinals,91b1628d-5a16-46e0-9f16-6880619b7d5e,Heat 1,29659c64-b0e6-4e52-8121-665fcca355d7,98,1,4.0,44.364,,,ADV,,5,seoul_man
Rep. Semifinals,91b1628d-5a16-46e0-9f16-6880619b7d5e,Heat 1,843abd46-cc28-4728-be4c-a887965aa21d,126,2,,PEN,,Penalty,,,0,seoul_man
Rep. Semifinals,8c81587f-f245-4234-bfb9-46911bafaab7,Heat 2,b04d2e6d-b92c-4548-ac22-e5930ca27da4,18,3,1.0,41.274,,,Q,,5,seoul_man
Rep. Semifinals,8c81587f-f245-4234-bfb9-46911bafaab7,Heat 2,ec754c8a-dada-4421-bb64-e64926e6b4c4,26,4,2.0,41.283,,,,,5,seoul_man
Rep. Semifinals,8c81587f-f245-4234-bfb9-46911bafaab7,Heat 2,db9e00f8-3eb5-458a-b8d1-21582b6838a9,27,5,3.0,41.416,,,,,5,seoul_man
Rep. Semifinals,8c81587f-f245-4234-bfb9-46911bafaab7,Heat 2,996efec1-974c-4d9d-8e24-17babe3ddf17,105,2,4.0,42.374,,,ADV,,5,seoul_man
Rep. Semifinals,8c81587f-f245-4234-bfb9-46911bafaab7,Heat 2,2dea1d2c-3ff7-49de-b8b5-a98466f53d69,22,1,,PEN,,Penalty,,,0,seoul_man
Quarterfinals,7a104a86-1dc0-4b89-8b54-dbd03770017e,Heat 1,f75b0c0f-107d-4474-bb47-45b2926ff298,2,1,1.0,40.799,,,Q,,5,seoul_man
Quarterfinals,7a104a86-1dc0-4b89-8b54-dbd03770017e,Heat 1,2560bda6-2a9e-4b0c-8adf-a91b273d71b2,42,2,2.0,40.822,,,Q,,5,seoul_man
Quarterfinals,7a104a86-1dc0-4b89-8b54-dbd03770017e,Heat 1,29f872c9-cead-450c-9997-3b6d6dacc1e8,23,5,3.0,41.041,,,q,,5,seoul_man
Quarterfinals,7a104a86-1dc0-4b89-8b54-dbd03770017e,Heat 1,89ebc323-0aef-4373-bc5c-6694f0b76935,17,3,4.0,1:11.203,,,,,5,seoul_man
Quarterfinals,7a104a86-1dc0-4b89-8b54-dbd03770017e,Heat 1,af71dca0-c9fb-4f77-be3a-8ff047e99c39,75,4,,PEN,,Penalty,,,0,seoul_man
Quarterfinals,e647cf4c-c345-4eb0-9384-86d73e8bc46a,Heat 2,59ae22e1-2772-412d-8714-8ac113571053,10,2,1.0,40.948,,,Q,,5,seoul_man
Quarterfinals,e647cf4c-c345-4eb0-9384-86d73e8bc46a,Heat 2,ff9963a6-23ac-4c1d-ae21-1c5028264d69,13,1,2.0,41.096,,,Q,,5,seoul_man
Quarterfinals,e647cf4c-c345-4eb0-9384-86d73e8bc46a,Heat 2,694b1f62-3ad8-4d0d-bcde-31fe41f01f8c,40,3,3.0,41.183,,,,,5,seoul_man
Quarterfinals,e647cf4c-c345-4eb0-9384-86d73e8bc46a,Heat 2,21cc4579-3a1c-4a8a-bf39-5a7475bb319c,20,4,4.0,41.436,,,,,5,seoul_man
Quarterfinals,e647cf4c-c345-4eb0-9384-86d73e8bc46a,Heat 2,50ac7787-2631-46d7-8d95-edc0c560a7ff,35,5,5.0,no time,,,,,3,seoul_man
Quarterfinals,cab8b3e6-7699-4624-864f-117c0810d859,Heat 3,a15aaec4-779d-4ca4-916a-6589b7678c2f,46,1,1.0,40.857,,,Q,,5,seoul_man
Quarterfinals,cab8b3e6-7699-4624-864f-117c0810d859,Heat 3,c4b9df64-f59a-4f18-b837-0de23875f136,7,3,2.0,40.920,,,Q,,5,seoul_man
Quarterfinals,cab8b3e6-7699-4624-864f-117c0810d859,Heat 3,013f54e5-d12a-4970-84bb-e2e40a383950,19,2,3.0,40.997,,,q,,5,seoul_man
Quarterfinals,cab8b3e6-7699-4624-864f-117c0810d859,Heat 3,b04d2e6d-b92c-4548-ac22-e5930ca27da4,18,5,4.0,41.132,,,,,5,seoul_man
Quarterfinals,cab8b3e6-7699-4624-864f-117c0810d859,Heat 3,996efec1-974c-4d9d-8e24-17babe3ddf17,105,6,5.0,41.328,,,,,5,seoul_man
Quarterfinals,cab8b3e6-7699-4624-864f-117c0810d859,Heat 3,5dc025c0-4553-4107-b42f-a7a6794f8495,8,4,6.0,41.399,,,,,5,seoul_man
Quarterfinals,10afd586-a194-42c6-9ba6-66740ef04f95,Heat 4,f7bdc857-3997-4abc-bfc9-80ee330f8563,3,3,1.0,40.741,,,Q,,5,seoul_man
Quarterfinals,10afd586-a194-42c6-9ba6-66740ef04f95,Heat 4,1109e535-8491-4985-857e-610f26178f4c,48,1,2.0,41.016,,,Q,,5,seoul_man
Quarterfinals,10afd586-a194-42c6-9ba6-66740ef04f95,Heat 4,29659c64-b0e6-4e52-8121-665fcca355d7,98,6,3.0,41.494,,,,,5,seoul_man
Quarterfinals,10afd586-a194-42c6-9ba6-66740ef04f95,Heat 4,4db2541f-8c53-49cb-af7d-ff587761fd00,58,5,4.0,41.622,,,,,5,seoul_man
Quarterfinals,10afd586-a194-42c6-9ba6-66740ef04f95,Heat 4,46283c04-b51a-47f3-ac99-fe66e7dd778d,129,4,5.0,no time,,,,,5,seoul_man
Quarterfinals,10afd586-a194-42c6-9ba6-66740ef04f95,Heat 4,af470988-b4c5-4d6a-b176-82176f4743e7,1,2,,YC,,Yellow Card,,,0,seoul_man
Semifinals,9e2cf475-8cab-43f2-8653-9ed5d401d37a,Heat 1,f75b0c0f-107d-4474-bb47-45b2926ff298,2,1,1.0,40.973,,,QA,,5,seoul_man
Semifinals,9e2cf475-8cab-43f2-8653-9ed5d401d37a,Heat 1,2560bda6-2a9e-4b0c-8adf-a91b273d71b2,42,2,2.0,41.058,,,QA,,5,seoul_man
Semifinals,9e2cf475-8cab-43f2-8653-9ed5d401d37a,Heat 1,59ae22e1-2772-412d-8714-8ac113571053,10,3,3.0,41.095,,,QB,,5,seoul_man
Semifinals,9e2cf475-8cab-43f2-8653-9ed5d401d37a,Heat 1,ff9963a6-23ac-4c1d-ae21-1c5028264d69,13,5,4.0,41.148,,,QB,,5,seoul_man
Semifinals,9e2cf475-8cab-43f2-8653-9ed5d401d37a,Heat 1,29f872c9-cead-450c-9997-3b6d6dacc1e8,23,4,5.0,41.478,,,QB,,5,seoul_man
Semifinals,3b236f9b-4609-4021-8a3e-becb0deddb15,Heat 2,013f54e5-d12a-4970-84bb-e2e40a383950,19,4,1.0,40.856,,,QA,,5,seoul_man
Semifinals,3b236f9b-4609-4021-8a3e-becb0deddb15,Heat 2,c4b9df64-f59a-4f18-b837-0de23875f136,7,3,2.0,41.210,,,QA,,5,seoul_man
Semifinals,3b236f9b-4609-4021-8a3e-becb0deddb15,Heat 2,1109e535-8491-4985-857e-610f26178f4c,48,5,3.0,41.226,,,QB,,5,seoul_man
Semifinals,3b236f9b-4609-4021-8a3e-becb0deddb15,Heat 2,a15aaec4-779d-4ca4-916a-6589b7678c2f,46,2,4.0,no time,,,ADVA,,5,seoul_man
Semifinals,3b236f9b-4609-4021-8a3e-becb0deddb15,Heat 2,f7bdc857-3997-4abc-bfc9-80ee330f8563,3,1,,PEN,,Penalty,,,0,seoul_man
Finals,8e64987b-7cd5-4d05-8b97-6655d3e142c4,Final A,f75b0c0f-107d-4474-bb47-45b2926ff298,2,2,1.0,41.681,,,,,5,seoul_man
Finals,8e64987b-7cd5-4d05-8b97-6655d3e142c4,Final A,c4b9df64-f59a-4f18-b837-0de23875f136,7,4,2.0,41.759,,,,,5,seoul_man
Finals,8e64987b-7cd5-4d05-8b97-6655d3e142c4,Final A,013f54e5-d12a-4970-84bb-e2e40a383950,19,1,3.0,41.800,,,,,5,seoul_man
Finals,8e64987b-7cd5-4d05-8b97-6655d3e142c4,Final A,a15aaec4-779d-4ca4-916a-6589b7678c2f,46,5,4.0,55.649,,,,,5,seoul_man
Finals,8e64987b-7cd5-4d05-8b97-6655d3e142c4,Final A,2560bda6-2a9e-4b0c-8adf-a91b273d71b2,42,3,5.0,56.813,,,,,5,seoul_man
Finals,2449ef8c-2c11-4893-9f8f-ae0c63291495,Final B,ff9963a6-23ac-4c1d-ae21-1c5028264d69,13,2,1.0,41.110,,,,,5,seoul_man
Finals,2449ef8c-2c11-4893-9f8f-ae0c63291495,Final B,29f872c9-cead-450c-9997-3b6d6dacc1e8,23,4,2.0,41.404,,,,,5,seoul_man
Finals,2449ef8c-2c11-4893-9f8f-ae0c63291495,Final B,1109e535-8491-4985-857e-610f26178f4c,48,3,3.0,41.431,,,,,5,seoul_man
Finals,2449ef8c-2c11-4893-9f8f-ae0c63291495,Final B,59ae22e1-2772-412d-8714-8ac113571053,10,1,,DNS,,Did Not Start,,,0,seoul_man
